A,B,Size,Source,Note,
Richard Abboud,Forum Asset Management,2,https://www.buildcanada.com/en/memos,,
Ruchish Shah,Build Canada,2,https://www.buildcanada.com/en/about,,
Ryan Manucha,Build Canada,2,https://www.buildcanada.com/en/about,,
Shane Parrish,Build Canada,2,https://www.buildcanada.com/en/memos,,
Shane Parrish,Farnam Street,2,https://www.buildcanada.com/en/memos,,
Shaun Francis,Build Canada,2,https://www.buildcanada.com/en/memos,,
Shaun Francis,Fraser Institute,2,https://www.fraserinstitute.org/profile/shaun-c-francis,,
Shaun Francis,Medcan,2,https://www.buildcanada.com/en/memos,,
Som Seif,Build Canada,2,https://www.buildcanada.com/en/memos,,
Som Seif,Purpose Unlimited,2,https://www.buildcanada.com/en/memos,,
Stewart Lyons,Bird,2,https://www.buildcanada.com/en/memos,,
Stewart Lyons,Build Canada,2,https://www.buildcanada.com/en/memos,,
Tobias Lutke,Coinbase,2,https://www.coinbase.com/en-sg/blog/tobias-lutke-ceo-of-shopify-to-join-coinbase-board-of-directors,,
Tobias Lutke,Build Canada,2,https://www.buildcanada.com/en/memos,,
Tobias Lutke,Shopify,2,https://www.buildcanada.com/en/memos,,
Toby Shannan,Build Canada,2,https://www.buildcanada.com/en/memos,,
Toby Shannan,Shopify,2,https://www.buildcanada.com/en/memos,,
Wayne Pommen,Build Canada,2,https://www.buildcanada.com/en/memos,,
Wayne Pommen,Affirm Holdings,2,https://investors.affirm.com/management/wayne-pommen,,
Wayne Pommen,Elevate,2,https://elevate.ca/speakers/wayne-pommen/,,
Wayne Pommen,Paybright,2,https://www.buildcanada.com/en/memos,,
Zander Fraser,Build Canada,2,https://www.buildcanada.com/en/about,,
Zara Safsovski,TD Bank,2,https://www.linkedin.com/in/zarasafsovski/?originalSubdomain=ca,,
Zara Safsovski,Glide AI,2,https://www.linkedin.com/in/zarasafsovski/?originalSubdomain=ca,,
Zara Safsovski,Build Canada,2,https://www.buildcanada.com/en/about,,
Zita Cobb,Build Canada,2,https://www.buildcanada.com/en/memos,,
Zita Cobb,Shorefast,2,https://www.buildcanada.com/en/memos,,
Alan Zekelman,Zekelman Industries,2,https://en.wikipedia.org/wiki/Zekelman_Industries,,
Barry Zekelman,Donald Trump,2,https://www.nytimes.com/2020/01/25/us/politics/trump-ukraine-donors.html,,
Clayton Zekelman,Zekelman Industries,2,https://en.wikipedia.org/wiki/Zekelman_Industries,,
Daniel Debow,Goldman Sachs,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Rypple,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Sullivan & Cromwell,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Workbrain,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Donald Trump,America First Action PAC,2,https://www.nytimes.com/2020/01/25/us/politics/trump-ukraine-donors.html,,
Doug Ford,Ontario Proud,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Ian Todd,Conservative Party of Canada,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Ian Todd,Maple Leaf Strategies,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Ian Todd,Pierre Poilievre,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Jeff Ballingall,Ontario Proud,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Mattamy Homes,Ontario Proud,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Matthew Conway,Conservative Party of Canada,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Matthew Conway,Maple Leaf Strategies,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Matthew Conway,Pierre Poilievre,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Samantha Tom,Borrowell,2,https://rocketreach.co/borrowell-management_b5fb8fa8f73779c9,,
Strathcona Resources,Greenfield Resources,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,MEG Energy Corporation,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,Osum Oil Sands Corporation,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Strathcona Resources,Tourmaline Oil Corporation,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Waterous Energy Fund,Strathcona Resources,2,https://www.theglobeandmail.com/business/commentary/article-adam-waterous-meg-athabasca-oil-sands-shakeup/,,
Zekelman Industries,America First Action PAC,2,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Daniel Debow,Borrowell,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Daniel Debow,Helpful,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
David Stein,Rypple,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Farhan Thawar,Helpful,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Gilbert Kaplan,Zekelman Industries,2,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Ian Todd,Stockwell Day,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Jeff Ballingall,Conservative Party of Canada,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Jeff Ballingall,Sun News,2,https://macleans.ca/politics/canadas-social-media-arms-race-and-the-battle-for-hearts-and-likes/,,
Jeff Ballingall,The Post Millennial,2,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Maple Leaf Strategies,Enbridge,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Maple Leaf Strategies,Meta,2,https://www.desmog.com/2025/04/22/industry-group-with-conservative-ties-is-calling-for-pipeline-emergency-build-canada-adam-waterous/,,
Mickey McNamara,Zekelman Industries,2,https://www.nytimes.com/2019/05/20/us/politics/hes-one-of-the-biggest-backers-of-trumps-push-to-protect-american-steel-and-hes-canadian.html,,
Peter Thiel,Rypple,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Roger Martin,Rypple,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Roger Martin,Workbrain,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Seymour Schulich,Rypple,2,https://opmwire.com/daniel-debow-shopify-build-canada/,,
Andy Ngo,Quillette,2,https://en.wikipedia.org/wiki/The_Post_Millennial,,
Andy Ngo,The Post Millennial,2,https://en.wikipedia.org/wiki/The_Post_Millennial,,
